Наименование муниципального образования;2019;2020;2021;2022;2023;2024
  г. Орел;41184;41442;41602;41891;43723;43412
  г. Ливны;6515;6563;6675;6746;6183;6123
  г. Мценск;4756;4659;4692;4664;4524;4439
  Орловский муниципальный район;10421;10563;10810;10988;12185;12140
  Болховский муниципальный район;2829;2876;2956;3005;2539;2505
  Верховский муниципальный район;2246;2345;2374;2438;2254;2211
  Глазуновский муниципальный район;1677;1722;1782;1790;1715;1692
  Дмитровский муниципальный район;1452;1511;1579;1573;1535;1520
  Должанский муниципальный район;1570;1522;1525;1550;1358;1354
  Залегощенский муниципальный район;2257;2334;2417;2415;1930;1959
  Знаменский муниципальный район;630;662;694;722;635;639
  Колпнянский муниципальный район;1707;1711;1740;1747;1625;1592
  Краснозоренский муниципальный район;795;797;799;771;777;760
  Кромской муниципальный район;2866;2981;3072;3185;3129;3181
  Корсаковский муниципальный район;609;614;615;623;609;599
  Ливенский муниципальный район;4171;4199;4148;4079;3975;3955
  Малоархангельский муниципальный район;1524;1558;1553;1556;1460;1450
  Мценский муниципальный район;2992;3084;3083;3028;2744;2704
  Новодеревеньковский муниципальный район;1361;1394;1393;1403;1307;1329
  Новосильский муниципальный район;1165;1205;1237;1245;1152;1141
  Покровский муниципальный район;1959;1943;1941;1916;1780;1777
  Свердловский муниципальный район;2236;2292;2321;2354;2174;2212
  Сосковский муниципальный район;682;679;689;674;682;667
  Троснянский муниципальный район;1202;1158;1180;1200;1253;1275
  Урицкий муниципальный район;2827;2982;3133;3254;2842;2923
  Хотынецкий муниципальный район;1490;1563;1628;1655;1289;1275
  Шаблыкинский муниципальный район;916;915;911;884;785;794
